,,,,
314,Carolina Parakeet,null,null,null
315,Nanday Parakeet,null,null,null
316,Mitred Parakeet,null,null,null
317,White-winged Parakeet,null,null,null
318,Blue-Yellow Macaw (captive),null,null,null
319,Budgerigar,null,null,null
320,Elaenia species,null,null,null
321,Ash-throated Flycatcher,null,null,null
322,Great Crested Flycatcher,null,null,null
323,Brown-crested Flycatcher,null,null,null
324,La Sagra's Flycatcher,null,null,null
325,Sulphur-bellied Flycatcher,null,null,null
326,Piratic Flycatcher,null,null,null
327,Variegated Flycatcher,null,null,null
328,Tropical Kingbird,null,null,null
329,Cassin's Kingbird,null,null,null
330,Western Kingbird,null,null,null
331,Eastern Kingbird,null,null,null
332,Gray Kingbird,null,null,null
333,Loggerhead Kingbird,null,null,null
334,Scissor-tailed Flycatcher,null,null,null
335,Fork-tailed Flycatcher,null,null,null
336,Olive-sided Flycatcher,null,null,null
337,Western Wood-Pewee,null,null,null
338,Eastern Wood-Pewee,null,null,null
339,Cuban Pewee,null,null,null
340,Yellow-bellied Flycatcher,null,null,null
341,Acadian Flycatcher,null,null,null
342,Alder Flycatcher,null,null,null
343,Willow Flycatcher,null,null,null
344,Least Flycatcher,null,null,null
345,Hammond's Flycatcher,null,null,null
346,Pacific-slope Flycatcher,null,null,null
347,Black Phoebe,null,null,null
348,Eastern Phoebe,null,null,null
349,Say's Phoebe,null,null,null
350,Vermilion Flycatcher,null,null,null
351,Loggerhead Shrike,null,null,null
352,White-eyed Vireo,null,null,null
353,Thick-billed Vireo,null,null,null
354,Cuban Vireo,null,null,null
355,Bell's Vireo,null,null,null
356,Yellow-throated Vireo,null,null,null
357,Blue-headed Vireo,null,null,null
358,Philadelphia Vireo,null,null,null
359,Warbling Vireo,null,null,null
360,Red-eyed Vireo,null,null,null
361,Yellow-green Vireo,null,null,null
362,Black-whiskered Vireo,null,null,null
363,Blue Jay,null,null,null
364,Florida Scrub-Jay,null,null,null
365,American Crow,null,null,null
366,Fish Crow,null,null,null
367,Horned Lark,null,null,null
368,Bank Swallow,null,null,null
369,Tree Swallow,null,null,null
370,Bahama Swallow,null,null,null
371,Violet-green Swallow,null,null,null
372,Mangrove Swallow,null,null,null
373,Northern Rough-winged Swallow,null,null,null
374,Purple Martin,null,null,null
375,Southern Martin,null,null,null
376,Cuban Martin,null,null,null
377,Barn Swallow,null,null,null
378,Cliff Swallow,null,null,null
379,Cave Swallow,null,null,null
380,Carolina Chickadee,null,null,null
381,Tufted Titmouse,null,null,null
382,Red-breasted Nuthatch,null,null,null
383,White-breasted Nuthatch,null,null,null
384,Brown-headed Nuthatch,null,null,null
385,Brown Creeper,null,null,null
386,Rock Wren,null,null,null
387,Bewick's Wren,null,null,null
388,Carolina Wren,null,null,null
389,House Wren,null,null,null
390,Winter Wren,null,null,null
391,Sedge Wren,null,null,null
392,Marsh Wren,null,null,null
393,Blue-gray Gnatcatcher,null,null,null
394,Red-whiskered Bulbul,null,null,null
395,Golden-crowned Kinglet,null,null,null
396,Ruby-crowned Kinglet,null,null,null
397,European Robin,null,null,null
398,MUSCICAPIDAE,null,null,null
399,Northern Wheatear,null,null,null
400,Eastern Bluebird,null,null,null
401,Mountain Bluebird,null,null,null
402,Townsend's Solitaire,null,null,null
403,Veery,null,null,null
404,Gray-cheeked Thrush,null,null,null
405,Bicknell's Thrush,null,null,null
406,Swainson's Thrush,null,null,null
407,Hermit Thrush,null,null,null
408,Wood Thrush,null,null,null
409,American Robin,null,null,null
